config,gold_pairs,pred_pairs,mean_pred_labels,precision,recall,micro_f1,macro_f1_all36,macro_f1_supported,sample_f1,any_precision,any_recall,any_f1,false_relevant,missed_all,mode,q_threshold,g_threshold
grid_old_or_both_q0.20_g0.35,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.2,0.35
grid_old_or_both_q0.30_g0.35,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.3,0.35
grid_old_or_both_q0.30_g0.50,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.3,0.5
grid_old_or_both_q0.30_g0.45,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.3,0.45
grid_old_or_both_q0.20_g0.40,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.2,0.4
grid_old_or_both_q0.30_g0.40,656,600,2.5316455696202533,0.595,0.5442073170731707,0.5684713375796179,0.3456625394287645,0.4290983248081215,0.5186284179955065,0.9574468085106383,0.9911894273127754,0.974025974025974,10,2,old_or_both,0.3,0.4
grid_old_or_q_or_g_q0.20_g0.70,656,954,4.025316455696203,0.4779874213836478,0.6951219512195121,0.5664596273291925,0.34806436209182195,0.4320798977691583,0.5307016003218534,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.2,0.7
grid_old_or_q_or_g_q0.30_g0.70,656,954,4.025316455696203,0.4779874213836478,0.6951219512195121,0.5664596273291925,0.34806436209182195,0.4320798977691583,0.5307016003218534,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.3,0.7
grid_old_or_q_or_g_q0.30_g0.65,656,954,4.025316455696203,0.4779874213836478,0.6951219512195121,0.5664596273291925,0.34806436209182195,0.4320798977691583,0.5307016003218534,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.3,0.65
grid_old_or_q_or_g_q0.20_g0.65,656,954,4.025316455696203,0.4779874213836478,0.6951219512195121,0.5664596273291925,0.34806436209182195,0.4320798977691583,0.5307016003218534,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.2,0.65
grid_old_or_q_or_g_q0.25_g0.70,656,954,4.025316455696203,0.4779874213836478,0.6951219512195121,0.5664596273291925,0.34806436209182195,0.4320798977691583,0.5307016003218534,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.25,0.7
grid_old_or_q_or_g_q0.25_g0.65,656,954,4.025316455696203,0.4779874213836478,0.6951219512195121,0.5664596273291925,0.34806436209182195,0.4320798977691583,0.5307016003218534,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.25,0.65
grid_and_q0.20_g0.60,656,374,1.5780590717299579,0.7754010695187166,0.4420731707317073,0.5631067961165048,0.29207655768841645,0.3625777957511377,0.5138637733574443,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.2,0.6
grid_and_q0.30_g0.55,656,374,1.5780590717299579,0.7754010695187166,0.4420731707317073,0.5631067961165048,0.29207655768841645,0.3625777957511377,0.5138637733574443,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.3,0.55
grid_and_q0.25_g0.60,656,374,1.5780590717299579,0.7754010695187166,0.4420731707317073,0.5631067961165048,0.29207655768841645,0.3625777957511377,0.5138637733574443,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.25,0.6
grid_and_q0.25_g0.55,656,374,1.5780590717299579,0.7754010695187166,0.4420731707317073,0.5631067961165048,0.29207655768841645,0.3625777957511377,0.5138637733574443,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.25,0.55
grid_and_q0.20_g0.55,656,374,1.5780590717299579,0.7754010695187166,0.4420731707317073,0.5631067961165048,0.29207655768841645,0.3625777957511377,0.5138637733574443,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.2,0.55
grid_and_q0.30_g0.60,656,374,1.5780590717299579,0.7754010695187166,0.4420731707317073,0.5631067961165048,0.29207655768841645,0.3625777957511377,0.5138637733574443,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.3,0.6
grid_old_or_q_or_g_q0.25_g0.40,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.25,0.4
grid_old_or_q_or_g_q0.25_g0.45,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.25,0.45
grid_old_or_q_or_g_q0.25_g0.35,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.25,0.35
grid_old_or_q_or_g_q0.30_g0.50,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.3,0.5
grid_old_or_q_or_g_q0.20_g0.60,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.2,0.6
grid_old_or_q_or_g_q0.30_g0.60,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.3,0.6
grid_old_or_q_or_g_q0.30_g0.55,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.3,0.55
grid_old_or_q_or_g_q0.20_g0.40,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.2,0.4
grid_old_or_q_or_g_q0.30_g0.35,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.3,0.35
grid_old_or_q_or_g_q0.30_g0.40,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.3,0.4
grid_old_or_q_or_g_q0.20_g0.45,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.2,0.45
grid_old_or_q_or_g_q0.20_g0.35,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.2,0.35
grid_old_or_q_or_g_q0.30_g0.45,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.3,0.45
grid_old_or_q_or_g_q0.20_g0.50,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.2,0.5
grid_old_or_q_or_g_q0.25_g0.50,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.25,0.5
grid_old_or_q_or_g_q0.25_g0.55,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.25,0.55
grid_old_or_q_or_g_q0.20_g0.55,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.2,0.55
grid_old_or_q_or_g_q0.25_g0.60,656,1022,4.312236286919831,0.461839530332681,0.7195121951219512,0.5625744934445769,0.3365646254257745,0.41780436259751313,0.5247094911651874,0.9578059071729957,1.0,0.978448275862069,10,0,old_or_q_or_g,0.25,0.6
grid_and_q0.20_g0.50,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.2,0.5
grid_and_q0.20_g0.40,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.2,0.4
grid_and_q0.30_g0.35,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.3,0.35
grid_and_q0.20_g0.45,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.2,0.45
grid_and_q0.25_g0.35,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.25,0.35
grid_and_q0.25_g0.45,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.25,0.45
grid_and_q0.25_g0.50,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.25,0.5
grid_and_q0.30_g0.45,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.3,0.45
grid_and_q0.20_g0.35,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.2,0.35
grid_and_q0.25_g0.40,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.25,0.4
grid_and_q0.30_g0.40,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.3,0.4
grid_and_q0.30_g0.50,656,375,1.5822784810126582,0.7733333333333333,0.4420731707317073,0.562560620756547,0.29185029759373526,0.36229692115084383,0.5131605384769942,0.9711538461538461,0.8898678414096917,0.9287356321839081,6,25,and,0.3,0.5
grid_or_q0.20_g0.30,656,1047,4.417721518987341,0.4565425023877746,0.7286585365853658,0.5613623018203171,0.3281832090897251,0.40739984576655525,0.5188533688533689,0.9578059071729957,1.0,0.978448275862069,10,0,or,0.2,0.3
grid_or_q0.25_g0.20,656,1047,4.417721518987341,0.4565425023877746,0.7286585365853658,0.5613623018203171,0.3281832090897251,0.40739984576655525,0.5188533688533689,0.9578059071729957,1.0,0.978448275862069,10,0,or,0.25,0.2
